Style,Donation_Type,n,mean,sd,se
Glam,Money,75,28.466666666666665,30.594706013231043,3.5327723505032806
Glam,Time,68,31.794117647058822,33.29181640446103,4.037225750125399
Hippie,Money,83,37.8433734939759,33.28497864074572,3.6535010492741034
Hippie,Time,64,35.03125,31.639320899540916,3.9549151124426145
