Source,sum_sq,df,F,PR(>F)
C(Style),3132.942174045295,1.0,3.0124577095987926,0.08370398640276791
C(Donation_Type),4.049842747891419,1.0,0.0038940967725540543,0.9502857342658462
C(Style):C(Donation_Type),676.5884974289406,1.0,0.6505687376521005,0.42057961205594574
Residual,297438.6856691472,286.0,,
