Effect,sum_sq,df,F,PR(>F)
C(Style_Hippie0_Glam1),45.88072398288733,1.0,1.034816481267068,0.3104672039641286
C(Experiment_Type),143.19358003538386,2.0,1.6148293201249209,0.2019431417182468
C(Style_Hippie0_Glam1):C(Experiment_Type),35.561701777597435,2.0,0.40103808208309744,0.6702526973427473
Residual,7581.637848932676,171.0,,
