Effect,sum_sq,df,F,PR(>F)
C(Style_Glam0_Hippie1),27660.064559466457,1.0,15.644509293354245,8.918838057789872e-05
C(Experiment_Type),19664.732874496993,2.0,5.561178202331918,0.004121949249948643
C(Style_Glam0_Hippie1):C(Experiment_Type),13698.68904558993,2.0,3.8739835118561907,0.02149436428759375
Residual,770863.9447739245,436.0,,
