Effect,sum_sq,df,F,PR(>F)
C(Style_Glam0_Hippie1),14457.136124284987,1.0,9.288670816514426,0.002714271380459763
C(Experiment_Type),7003.186325088095,1.0,4.499528252430833,0.0355053275957087
C(Style_Glam0_Hippie1):C(Experiment_Type),1237.9711847878164,1.0,0.7953931343641613,0.37386569739356745
Residual,239689.7260242606,154.0,,
