Effect,sum_sq,df,F,PR(>F)
C(Style_Glam0_Hippie1),28616.2325519206,1.0,17.33483537401089,3.6606292619716735e-05
C(Experiment_Type),2168.804600805447,1.0,1.313795260964098,0.25222882724827894
C(Style_Glam0_Hippie1):C(Experiment_Type),778.2251671704511,1.0,0.4714249205354063,0.49263435680559464
Residual,869968.1438839536,527.0,,
