Effect,sum_sq,df,F,PR(>F)
C(Style_Hippie0_Glam1),2924.0235029882897,1.0,1.253061816195422,0.263631930232497
C(Experiment_Type),2499.2058974015185,1.0,1.0710103655609358,0.3013348767598543
C(Style_Hippie0_Glam1):C(Experiment_Type),4379.181627270343,1.0,1.8766556690495164,0.171473714386666
Residual,945068.7136137027,405.0,,
