Effect,sum_sq,df,F,PR(>F)
C(Style_Hippie0_Glam1),1.6863187312635223e+22,1.0,0.96629386371922,0.326994990900637
C(Experiment_Type),3.410616676323668e+22,2.0,0.9771752826823655,0.3784643403029728
C(Style_Hippie0_Glam1):C(Experiment_Type),3.3716318933143177e+22,2.0,0.9660057582318679,0.3826672755917333
Residual,2.984190564309042e+24,171.0,,
