Effect,sum_sq,df,F,PR(>F)
C(Style_Hippie0_Glam1),316.9393993090795,1.0,0.3041873668673207,0.5822307000695738
C(Experiment_Type),3220.236092261629,1.0,3.090670139880314,0.08113268378306106
C(Style_Hippie0_Glam1):C(Experiment_Type),738.8494901996129,1.0,0.7091219375850065,0.4013060886960097
Residual,133365.9695645976,128.0,,
