Effect,sum_sq,df,F,PR(>F)
C(Style_Hippie0_Glam1),6147.807079205568,1.0,2.810425076123401,0.09432137542622175
C(Experiment_Type),8724.16048894869,2.0,1.9940931042874177,0.1372921047203465
C(Style_Hippie0_Glam1):C(Experiment_Type),3680.2582086205357,2.0,0.8412015717849017,0.4318430024810789
Residual,1023750.3705442579,468.0,,
