Effect,sum_sq,df,F,PR(>F)
C(Style_Hippie0_Glam1),292.46634879657756,1.0,0.19328638112830798,0.6609367324884758
C(Experiment_Type),7755.403602049333,1.0,5.125423497771998,0.02526051052228052
C(Style_Hippie0_Glam1):C(Experiment_Type),181.01904562043956,1.0,0.11963262230763788,0.730001117358432
Residual,193679.92937438903,128.0,,
