Effect,sum_sq,df,F,PR(>F)
C(Style_Hippie0_Glam1),7929929060.562883,1.0,0.6040913582697756,0.43845531216762856
C(Experiment_Type),21736462853.490902,1.0,1.6558545819089316,0.20048628147753925
C(Style_Hippie0_Glam1):C(Experiment_Type),1960053304.413272,1.0,0.14931423142644465,0.6998331505543127
Residual,1680260619286.588,128.0,,
