Experiment_Type,min,q1,median,q3,max
BB_T_D_M,5.162516666666667,8.358645833333334,11.1313,18.545749999999998,238.01396666666668
BB_T_D_SM,5.17905,10.497791666666666,13.6739,20.44164166666667,82.47051666666667
BB_T_D_ST,5.02315,10.241133333333334,12.679016666666667,19.638758333333335,229.4965
BB_T_D_T,5.285183333333333,9.558716666666667,12.626716666666667,18.439716666666666,149.96363333333332
M_D_A_M,5.0192,8.9451375,11.5308,16.948520833333333,48.83723333333333
M_D_A_T,5.201016666666667,8.794766666666666,11.374633333333334,16.190783333333332,221.7776
M_D_M,5.01935,7.605075,10.260666666666667,14.234925,126.10723333333334
M_D_N_M,5.2343,8.241816666666667,10.695966666666667,14.421216666666666,120.26421666666667
M_D_N_T,5.091683333333333,9.031966666666667,12.327283333333334,19.57595,276.4864666666667
M_D_S_M,5.0426166666666665,9.290808333333334,12.303966666666668,18.6037125,222.12715
M_D_S_T,5.010116666666667,8.727866666666667,11.601266666666668,15.45115,169.1125
M_D_T,5.140983333333334,8.07945,12.381816666666667,17.925733333333334,134.30096666666665
M_T_A,5.8445,8.588308333333334,10.5367,14.473816666666668,100.2533
M_T_N,5.256666666666667,7.6766708333333336,10.407091666666666,13.802066666666667,57.28228333333333
M_T_NV,5.2133,6.987475,9.547125000000001,11.38645,125.09393333333334
W_G,5.31955,7.407383333333334,9.765833333333333,12.392233333333333,32.08201666666667
W_GHE,5.096333333333333,7.202229166666667,9.776558333333334,14.522875,137.30413333333334
W_H,5.702166666666667,8.307025,10.278241666666666,13.957791666666667,158.15655
W_HGE,5.32675,7.678475,11.5276,18.819966666666666,164.30121666666668
W_N,5.4411,7.823645833333334,9.821233333333332,12.85975,82.11205
W_NV_G,5.373183333333333,9.04865,10.947516666666667,14.982025,112.61898333333333
W_NV_N,5.335016666666666,7.6681125,10.015933333333333,13.301379166666667,37.151716666666665
W_VA_H,5.0267,9.4614,10.952916666666667,15.532266666666667,161.92116666666666
W_VA_N,5.048466666666667,8.640725,11.828233333333333,15.831220833333333,38.10006666666666
W_VN_H,5.888366666666666,10.340020833333334,12.312116666666668,15.659533333333334,111.36115
W_VN_N,5.23265,8.712866666666667,11.180783333333334,14.250433333333334,269.65448333333336
W_V_G,5.206466666666667,7.99685,10.415066666666666,12.35575,106.85031666666667
W_V_N,5.006183333333333,8.297175000000001,10.066483333333334,13.719745833333334,88.42681666666667
